# step, Tw, Wr, Tw+Wr
0 0 -nan -nan
1000 -0.386421 0.43229 0.0458686
2000 -0.340809 0.506284 0.165475
3000 -0.950162 1.07585 0.125684
4000 -0.969409 1.05524 0.0858323
5000 -1.01085 1.02923 0.018376
6000 -0.944856 0.996356 0.0514999
7000 -0.795898 0.751211 -0.044687
8000 -0.51994 0.474876 -0.0450631
9000 -0.379568 0.455224 0.0756566
10000 -0.614269 0.663658 0.0493893
11000 -0.722672 0.608749 -0.113923
12000 -0.619276 0.604799 -0.0144776
13000 -0.407147 0.554943 0.147796
14000 -0.313015 0.288325 -0.02469
15000 -0.231974 0.370833 0.138859
16000 -0.209759 0.309006 0.0992463
17000 -0.400188 0.422016 0.0218282
18000 -0.398598 0.299259 -0.0993391
19000 -0.341051 0.36752 0.0264693
20000 0.11671 -0.0760742 0.040636
21000 0.0689918 -0.144011 -0.0750195
22000 0.275805 -0.193007 0.0827987
23000 0.220021 -0.230815 -0.0107945
24000 0.217666 -0.237012 -0.0193464
25000 0.0222507 -0.0675767 -0.045326
26000 0.159007 -0.212351 -0.0533442
27000 0.427002 -0.378387 0.0486145
28000 0.268187 -0.313861 -0.0456742
29000 0.430844 -0.325536 0.105308
30000 0.41194 -0.471332 -0.059392
31000 0.319564 -0.34529 -0.0257269
32000 0.426975 -0.361145 0.0658301
33000 0.307701 -0.30457 0.00313129
34000 0.269435 -0.224699 0.0447362
35000 0.0686663 -0.098766 -0.0300997
36000 0.0505074 -0.0274574 0.02305
37000 0.0356685 -0.108543 -0.0728746
38000 0.278734 -0.276027 0.00270714
39000 0.359909 -0.37922 -0.0193109
40000 0.236981 -0.241148 -0.00416658
41000 0.194018 -0.19658 -0.00256219
42000 0.0343545 0.0442661 0.0786206
43000 0.167983 -0.147862 0.0201204
44000 0.12674 -0.220942 -0.0942021
45000 0.381454 -0.416022 -0.0345683
46000 0.719937 -0.611803 0.108134
47000 0.495257 -0.545249 -0.0499914
48000 0.495982 -0.567335 -0.0713531
49000 0.499625 -0.526991 -0.0273656
50000 0.568425 -0.59067 -0.0222452
51000 0.63285 -0.603617 0.0292326
52000 0.469618 -0.553267 -0.0836497
53000 0.52895 -0.486261 0.0426887
54000 0.63495 -0.556772 0.078178
55000 0.66057 -0.560543 0.100027
56000 0.593259 -0.55121 0.0420482
57000 0.784295 -0.784081 0.000214301
58000 0.633929 -0.630184 0.00374426
59000 0.752566 -0.781594 -0.0290278
60000 0.572577 -0.602395 -0.0298176
61000 0.655854 -0.682514 -0.0266601
62000 0.70438 -0.67201 0.0323702
63000 0.5708 -0.617179 -0.0463794
64000 0.461833 -0.501712 -0.0398791
65000 0.365964 -0.421232 -0.0552672
66000 0.298141 -0.347063 -0.0489219
67000 0.182431 -0.143338 0.0390926
68000 -0.0769464 -0.0601983 -0.137145
69000 0.177316 -0.247968 -0.0706514
70000 0.102219 -0.185944 -0.0837245
71000 0.30911 -0.378365 -0.0692548
72000 0.491917 -0.41152 0.0803975
73000 0.396823 -0.379417 0.0174064
74000 0.175744 -0.238715 -0.0629706
75000 0.222827 -0.192667 0.0301598
76000 0.315411 -0.278951 0.0364606
77000 0.273616 -0.247766 0.0258497
78000 0.23127 -0.2213 0.00997043
79000 0.0865172 -0.136846 -0.0503289
80000 0.368478 -0.316017 0.0524608
81000 0.33233 -0.385399 -0.0530688
82000 0.276986 -0.366174 -0.0891879
83000 0.134203 -0.157236 -0.0230335
84000 0.333685 -0.31643 0.0172548
85000 0.235224 -0.223689 0.0115354
86000 0.171595 -0.148104 0.0234909
87000 0.201803 -0.123973 0.0778296
88000 0.36092 -0.317381 0.0435389
89000 0.10498 -0.184568 -0.0795879
90000 0.242726 -0.229893 0.0128329
91000 0.00213545 0.0583655 0.060501
92000 0.280742 -0.247889 0.0328528
93000 0.0607135 -0.120149 -0.0594354
94000 0.232804 -0.201895 0.0309091
95000 0.11591 -0.155272 -0.0393616
96000 0.160263 -0.25643 -0.096167
97000 0.21943 -0.291654 -0.0722234
98000 0.144363 -0.203262 -0.0588984
99000 0.220522 -0.229416 -0.0088933
100000 0.406497 -0.34994 0.0565574
101000 0.267387 -0.319918 -0.0525304
102000 0.235084 -0.37714 -0.142056
103000 0.036562 -0.156032 -0.11947
104000 -0.112354 0.12087 0.00851591
105000 0.0960553 -0.0892095 0.00684582
106000 0.121915 -0.1274 -0.00548488
107000 0.128724 -0.182157 -0.053433
108000 0.279491 -0.294484 -0.0149939
109000 0.0983092 -0.108484 -0.0101752
110000 0.187728 -0.171358 0.0163703
111000 0.3815 -0.364542 0.0169579
112000 0.0507223 -0.157168 -0.106446
113000 0.202994 -0.131628 0.0713667
114000 0.179872 -0.142128 0.0377433
115000 0.247659 -0.215592 0.0320668
116000 0.332467 -0.36016 -0.0276931
117000 0.279917 -0.290845 -0.0109277
118000 0.157238 -0.190428 -0.03319
119000 0.213844 -0.232129 -0.0182849
120000 -0.00348447 -0.0694999 -0.0729844
121000 0.0550992 -0.0906285 -0.0355294
122000 0.215104 -0.254598 -0.0394942
123000 0.0510389 0.0346442 0.0856831
124000 0.227823 -0.125438 0.102385
125000 0.143279 -0.192004 -0.0487257
126000 0.245401 -0.284217 -0.0388161
127000 0.216821 -0.240327 -0.023506
128000 0.238873 -0.220957 0.0179157
129000 0.348637 -0.314889 0.0337476
130000 0.241223 -0.285587 -0.044364
131000 0.347637 -0.359757 -0.0121198
132000 0.438613 -0.464594 -0.0259811
133000 0.532361 -0.597543 -0.0651815
134000 0.475118 -0.485859 -0.0107406
135000 0.518395 -0.501401 0.0169937
136000 0.452303 -0.508206 -0.0559032
137000 0.599397 -0.519765 0.0796328
138000 0.373113 -0.462273 -0.08916
139000 0.604753 -0.606677 -0.00192444
140000 0.45684 -0.567621 -0.110781
141000 0.755241 -0.746861 0.00838
142000 0.49739 -0.641661 -0.144271
143000 0.599298 -0.697353 -0.0980549
144000 0.652061 -0.683147 -0.0310856
145000 0.796702 -0.63264 0.164063
146000 0.705907 -0.70491 0.000996827
147000 0.509408 -0.577333 -0.0679252
148000 0.514684 -0.582138 -0.067454
149000 0.586882 -0.689292 -0.10241
150000 0.769776 -0.845506 -0.0757307
151000 0.728414 -0.795887 -0.0674733
152000 0.680684 -0.699417 -0.0187333
153000 0.628726 -0.676481 -0.0477551
154000 0.536385 -0.593203 -0.0568187
155000 0.735185 -0.729344 0.00584117
156000 0.737035 -0.830794 -0.0937592
157000 0.615258 -0.683002 -0.0677436
158000 0.67883 -0.761763 -0.0829336
159000 0.877485 -0.858611 0.018874
160000 0.8424 -0.912675 -0.0702747
161000 0.965008 -0.877859 0.087149
162000 0.519739 -0.529816 -0.0100766
163000 0.651445 -0.662686 -0.0112409
164000 0.648865 -0.605224 0.0436413
165000 0.857139 -0.893353 -0.0362141
166000 0.867579 -0.876909 -0.00932996
167000 0.740749 -0.853952 -0.113203
168000 0.996544 -1.00067 -0.00412989
169000 0.882681 -0.971374 -0.088693
170000 1.00913 -0.98787 0.0212562
171000 1.12236 -1.17605 -0.053685
172000 1.03616 -1.10385 -0.0676949
173000 1.16569 -1.15721 0.00847938
174000 0.948633 -0.816849 0.131784
175000 0.865203 -0.909489 -0.0442858
176000 0.73278 -0.889418 -0.156638
177000 0.949629 -0.956844 -0.00721532
178000 1.04871 -1.02666 0.0220427
179000 0.787617 -0.948839 -0.161222
180000 1.04404 -1.0272 0.0168348
